damage,year,month,targetspp,point_x,point_y,bear_abund,landcover_2,altitude,human_population,dist_to_forest,dist_to_town,livestock_killed,shannondivindex,prop_arable,prop_orchards,prop_pasture,prop_ag_mo,prop_seminatural,prop_deciduous,prop_coniferous,prop_mixedforest,prop_grassland,prop_for_regen,openhab_10k,forest_10k,urban_10k,heteroag_10k,ag_10k,shdi_10k,s.bear_abund,s.altitude,s.dist_to_town,s.dist_to_forest
1,2009,7,ovine,536563,528919,38,Ag_land,697,0,51.783759,1578.202538,2,1.415958,37.514,0,32.735,0,2.568,0.514,0,18.442,1.877,6.351,0.127597529,-0.924971579,0.181709858,0.127597529,0.917474839,1.800113823,-0.079234702,-0.379600892,-0.558839657,-0.343196264
1,2009,5,ovine,538447,528747,38,Hetero_ag,662,0,345.779722,56.136604,1,1.718763,19.19,0,0,9.883,24.76,23.202,0,1.862,18.109,0,1.25580728,-0.933990499,0.076622442,1.25580728,-0.043118034,1.231119598,-0.079234702,-0.58407703,-0.879438142,-0.104019317
1,2009,4,ovine,539591,530667,38,Open,775,0,65.32132,1397.455539,2,0.56956,3.643,0,0,0,0.349,13.508,0,0,82.499,0,2.349620161,-1.099337349,0.12916615,2.349620161,-0.393131609,0.798224882,-0.079234702,-0.174000524,-0.603712161,-0.343196264
1,2009,6,ovine,542757,591033,26,Open,1045,0,271.797129,1353.519286,4,0.588707,26.868,0,0,0,0,0,0.088,0,73.044,0,2.906845839,-0.795700452,-0.536387379,2.906845839,-0.241459044,-0.399966573,-0.272261815,0.747219026,-0.231783087,-0.104019317
1,2009,6,ovine,541347,522690,40,Forests,566,0,52.385578,5976.517004,6,0.755856,0,0,0,0,9.889,75.937,0,0,1.199,12.975,-0.491541906,0.743528426,-0.536387379,-0.491541906,-0.622584975,-0.535222903,0.508957391,-0.868248744,1.021575636,-0.434991409
1,2009,9,ovine,546655,550904,36,Open,1459,0,123.861086,7724.726199,1,1.043994,0,0,0,0,0,0,49.094,0,27.617,23.289,0.010649016,0.764572472,-0.536387379,0.010649016,-0.622584975,-0.746311036,0.70333408,2.310112791,1.663351467,-0.251401118
1,2009,4,ovine,548042,584213,26,Forests,1018,7,124.699441,438.243281,1,1.265523,7.619,0,0,0,0,0,31.674,0,37.82,22.887,2.377137736,-0.36579859,-0.536387379,2.377137736,-0.498135689,0.099754194,-0.272261815,0.760566893,-0.117177729,-0.434991409
1,2009,5,ovine,558943,496130,38,Open,802,0,123.405427,3399.148622,6,0.711895,0,0,52.987,0,0,46.665,0,0,0,0.348,1.606652917,0.067109564,-0.536387379,1.606652917,-0.622584975,-0.862218288,0.821585067,-0.056595536,0.120101087,-0.229731225
1,2009,5,ovine,558943,496133,38,Open,802,0,122.445584,3399.142524,6,0.711895,0,0,52.987,0,0,46.665,0,0,0,0.348,1.606652917,0.067109564,-0.536387379,1.606652917,-0.622584975,-0.862218288,0.821585067,-0.056595536,0.120101087,-0.229731225
1,2009,8,ovine,566727,501952,41,Open,772,0,25.473365,842.761019,1,1.364221,20.022,0,16.807,0.058,0,47.893,0,11.531,3.183,0,-0.175092844,0.572168905,0.041593345,-0.175092844,-0.43202201,0.706894905,1.21840613,-0.167529224,-0.816106262,-0.343196264
1,2009,8,ovine,567282,506818,41,Open,751,0,4.886473,1973.371841,1,1.241748,1.643,0,17.541,0,0.014,48.474,0,0,26.563,5.764,1.008151467,-0.362792297,-0.536387379,1.008151467,-0.08978652,1.558282213,1.21840613,-0.400474795,-0.446651619,-0.343196264
1,2009,12,ovine,568744,473292,19,Art_surfaces,588,152,112.870954,0,2,1.178003,56.585,0,25.235,0,0,5.044,0,0,0,6.716,0.106959545,-0.248552674,0.479457494,0.106959545,0.408010626,0.617065414,-0.136547589,-0.798231542,-1.086341317,-0.30517347
1,2009,9,ovine,570533,488753,48,Open,714,0,67.037369,1062.822781,1,0.733221,0.544,0,73.585,0,0,20.705,0,0,0,5.166,1.771756793,-0.158363562,-0.413785407,1.771756793,-0.455356253,0.391920156,1.462100649,-0.388438853,-0.57829348,-0.343196264
1,2009,9,ovine,573899,487096,48,Art_surfaces,559,103,177.770136,0,6,1.42855,28.177,0,39.199,0.056,0,16.768,0,0,0,0,0.48532256,-1.090318429,0.882292609,0.48532256,0.835805044,1.008663543,1.462100649,-0.925952464,-1.050857716,-0.251401118
1,2009,9,ovine,578252,474053,26,Art_surfaces,590,86,99.363879,0,7,0.872168,4.154,0,0,5.449,6.056,76.666,0.247,0,0,0,-0.347076064,0.30761398,0.584544972,-0.347076064,-0.564249375,0.573779346,-0.028151291,-0.835696323,-1.086341317,-0.30517347
1,2009,10,ovine,578205,474030,26,Art_surfaces,590,86,94.250747,0,7,0.872168,4.154,0,0,5.449,6.056,76.666,0.247,0,0,0,-0.347076064,0.30761398,0.584544972,-0.347076064,-0.564249375,0.573779346,-0.028151291,-0.835696323,-1.086341317,-0.30517347
1,2009,10,ovine,578406,474102,26,Art_surfaces,585,492,138.593059,0,7,0.872168,4.154,0,0,5.449,6.056,76.666,0.247,0,0,0,-0.223248108,0.220431159,0.602059458,-0.223248108,-0.544804175,0.708984076,-0.028151291,-0.854038599,-1.050857716,-0.229731225
1,2009,7,ovine,579221,502051,53,Art_surfaces,655,51,683.806527,0,7,1.616346,36.638,0,4,26.385,2.79,7.542,0,0,0,0,-0.285162061,-0.864845432,0.829748901,-0.285162061,0.730800895,1.55686926,0.56583257,-0.592997474,-1.086341317,0.226952776
1,2009,8,ovine,579179,502096,53,Art_surfaces,662,280,624.883094,0,7,1.616346,36.638,0,4,26.385,2.79,7.542,0,0,0,0,-0.085661611,-0.819750876,0.759690582,-0.085661611,0.598573592,1.5760865,0.56583257,-0.519916082,-1.050857716,0.100261692
1,2009,9,ovine,634696,479915,15,Open,433,0,44.32283,1744.473483,1,0.840368,0,0,59.964,0,5.89,34.146,0,0,0,0,1.929981373,-0.275609391,-0.361241707,1.929981373,-0.622584975,-0.251373912,-0.954181006,-1.296063954,-0.446651619,-0.343196264
