damage,year,month,targetspp,point_x,point_y,bear_abund,landcover_2,altitude,human_population,dist_to_forest,dist_to_town,livestock_killed,shannondivindex,prop_arable,prop_orchards,prop_pasture,prop_ag_mo,prop_seminatural,prop_deciduous,prop_coniferous,prop_mixedforest,prop_grassland,prop_for_regen,openhab_10k,forest_10k,urban_10k,heteroag_10k,ag_10k,shdi_10k,s.bear_abund,s.altitude,s.dist_to_town,s.dist_to_forest
1,2009,9,bovine,555288,503799,25,Open,696,0,21.599771,982.861921,9,1.555093,7.695,0,35.675,0,0,30.886,0,8.659,10.595,6.489,0.88432356,-0.723549093,0.006564186,0.88432356,0.688021542,1.283776811,-0.250290713,-0.447946796,-0.709145493,-0.343196264
1,2009,7,bovine,556185,504755,25,Open,711,0,58.528477,1560.80282,9,1.555093,7.695,0,35.675,0,0,30.886,0,8.659,10.595,6.489,1.187013933,-0.074186861,-0.536387379,1.187013933,-0.202568657,0.844599994,-0.250290713,-0.441439559,-0.483120115,-0.434991409
1,2009,9,bovine,556226,504575,25,Open,711,0,215.523693,1591.529024,9,1.555093,7.695,0,35.675,0,0,30.886,0,8.659,10.595,6.489,1.290203757,-0.041117474,-0.536387379,1.290203757,-0.303683701,0.809433407,-0.250290713,-0.396555255,-0.447636515,-0.343196264
1,2009,9,bovine,556030,503229,25,Open,702,0,135.713238,1912.315646,6,1.149668,1.381,0,25.695,1.791,0,50.646,0,0,20.488,0,1.214531311,-0.209470703,-0.536387379,1.214531311,-0.206457707,1.231462705,-0.250290713,-0.462175125,-0.354828188,-0.251401118
1,2009,9,bovine,557189,479191,9,Open,549,0,309.233111,2041.836872,1,0.795595,62.811,0,32.767,0,0,4.422,0,0,0,0,1.125100078,-0.474025628,-0.518872811,1.125100078,0.345785941,0.053914545,-1.084668685,-0.972928705,-0.3336205,-0.159605973
1,2009,9,bovine,558883,501296,25,Hetero_ag,666,101,110.9761,93.658415,2,0.985104,0,0,19.073,1.802,16.98,62.145,0,0,0,0,0.313339389,0.070115857,-0.536387379,0.313339389,-0.622584975,0.692757001,-0.250290713,-0.555385048,0.764256815,-0.30517347
1,2009,7,bovine,561949,511145,56,Forests,694,3,0,598.413886,2,1.457861,0,0,40.255,7.616,11.71,22.217,0,18.201,0,0,1.118220586,-0.164376146,-0.536387379,1.118220586,-0.622584975,1.100885328,0.681362978,-0.499593361,-0.086484242,-0.30517347
1,2009,9,bovine,561209,508988,38,Open,795,0,27.12749,1355.019319,4,1.093377,0,0,37.42,0,0,33.491,0,29.09,0,0,1.021910057,0.166317554,-0.536387379,1.021910057,-0.622584975,0.422623919,0.821585067,-0.122765289,0.013650287,-0.343196264
1,2009,8,bovine,562007,496199,38,Forests,726,0,48.520817,340.571274,5,1.196456,0.295,0,21.833,0,10.048,57.381,0,0,0,7.823,0.2995807,-0.164376146,0.181709858,0.2995807,0.057997037,1.005226258,0.821585067,-0.335949062,-0.974132325,-0.434991409
1,2009,8,bovine,562840,496597,38,Hetero_ag,668,0,175.142738,330.664846,5,1.196456,0.295,0,21.833,0,10.048,57.381,0,0,0,7.823,-0.023747657,-0.302666194,0.847263386,-0.023747657,0.271894246,1.195473742,0.821585067,-0.54452854,-0.905409749,-0.30517347
1,2009,8,bovine,562853,496514,38,Hetero_ag,671,0,256.7478,246.851682,5,1.196456,0.295,0,21.833,0,10.048,57.381,0,0,0,7.823,-0.071902922,-0.350767042,0.847263386,-0.071902922,0.36134214,1.220843135,0.821585067,-0.535970066,-0.94003868,-0.229731225
1,2009,6,bovine,563114,504715,38,Open,688,34,61.068516,721.46332,3,1.85693,28.766,0,8.934,18.972,2.452,8.026,0,0,0,3.948,-0.498421251,-0.377823845,2.984040548,-0.498421251,-0.128676906,1.48672223,0.821585067,-0.47843629,-1.015374116,-0.30517347
1,2009,9,bovine,568080,494816,54,Open,680,0,58.09656,1078.919159,3,1.346221,17.608,0,32.274,4.914,0,40.929,0,0,0,1.389,0.072562871,0.009989667,0.199224469,0.072562871,0.022995673,0.635394898,3.33152843,-0.562226544,-0.783169299,-0.30517347
1,2009,9,bovine,569754,560675,18,Forests,1066,0,156.57558,1468.515396,1,1.035645,0,0,0,0,0,0,50.29,0,27.873,21.817,0.719219684,0.421853603,-0.431299979,0.719219684,-0.622584975,0.214372498,-0.501724983,0.949732689,-0.654664696,-0.343196264
1,2009,6,bovine,570865,496373,48,Open,970,0,125.83464,3077.09318,3,0.568814,0,0,5.863,0,0,85.561,4.938,3.637,0,0,-0.821749633,1.128335559,-0.536387379,-0.821749633,-0.622584975,-0.579680398,1.462100649,0.534858345,0.128421454,-0.30517347
1,2009,7,bovine,571647,563387,18,Open,1049,30,87.926642,818.483327,4,1.178264,0,0,23.247,0,7.888,0,56.694,0,9.754,2.418,1.145737964,0.154292385,-0.536387379,1.145737964,-0.622584975,0.471352421,-0.501724983,0.838839484,-0.337813993,-0.343196264
1,2009,8,bovine,572466,562411,18,Forests,1053,2,0,501.959227,4,1.178264,0,0,23.247,0,7.888,0,56.694,0,9.754,2.418,0.815530213,-0.023079721,-0.343727143,0.815530213,-0.622584975,1.187906204,-0.501724983,0.766063991,-0.729735554,-0.434991409
1,2009,9,bovine,572142,557317,16,Forests,1086,0,0,442.827228,1,1.632044,0,0,16.005,15.486,0,0,35.583,0,7.623,19.326,0.705461094,-0.465006751,1.039923607,0.705461094,-0.622584975,1.635992729,-0.705795943,0.858685495,-0.870503006,-0.434991409
1,2009,9,bovine,574718,558394,16,Ag_land,1002,228,1565.722663,304.750175,1,1.564691,17.57,0,27.846,23.283,0.416,0,0,0,0,8.14,-0.120058284,-1.156457161,2.090797765,-0.120058284,0.221336683,1.776279497,-0.705795943,0.520087927,-0.958403381,-0.251401118
