bobcat_id,county,township,collectiondate,month,coordinates_n,coordinates_w
66-20-92,Pike,Scioto,2/8/20,2,39.02981,-83.02688
44-20-93,Lawrence,Fayette,1/20/20,1,38.2505,-82.3406
16-20-94,Coshocton,White Eyes,12/23/19,12,40.367707,-81.72728
84-20-95,Washington,Salem,3/2/20,3,39.545866,-81.397528
44-20-96,Lawrence,Elizabeth,3/6/20,3,38.38101,-82.40795
60-20-97,Muskingum,Union,2/12/20,2,39.97895,-81.808417
60-20-98,Muskingum,Muskingum,2/12/20,2,40.038433,-82.024783
73-20-99,Scioto,Clay,1/28/20,1,38.4965,-82.5896
27-20-100,Gallia,Green,3/10/20,3,38.8293,-82.227
27-20-101,Gallia,Clay,2/28/20,2,38.7438,-82.2469
16-20-102,Coshocton,Adams,1/16/20,1,40.34481,-81.64782
30-20-103,Guernsey,Cambridge,3/7/20,3,40.02847,-81.56121
30-20-104,Guernsey,Wills,11/15/19,11,40.05738,-81.41471
60-20-105,Muskingum,Cass,3/9/20,3,40.1526,-82.0376
16-20-106,Coshocton,New Castle,1/3/20,1,40.38275,-82.137323
30-20-107,Guernsey,Cambridge,3/10/20,3,40.04444,-81.56102
61-20-108,Noble,Stock,3/9/20,3,39.73907,-81.33068
60-20-109,Muskingum,na,na,1,39.953521,-81.954341
44-20-110,Lawrence,na,2/25/20,2,38.66131,-82.658803
61-20-111,Noble,Sharon,3/6/20,3,39.74263,-81.63741
37-20-112,Hocking,na,8/11/20,8,39.54523,-82.27045
07-20-113,Belmont,York,3/13/20,3,39.873305,-81.81363
30-20-114,Guernsey,Oxford,3/12/20,3,40.05688,-81.24305
56-20-115,Monroe,Salem,3/23/20,3,39.7427,-80.888
23-19-116,Fairfield,na,11/21/19,11,39.726346,-82.681448
40-20-117,Jackson,Hamilton,3/30/20,3,38.949,-82.674
42-20-118,Knox,na,4/27/20,4,40.369143,-82.481429
30-19-119,Guernsey,Oxford,11/29/19,11,40.0555,-81.27684
30-19-120,Guernsey,Oxford,11/19/19,11,40.07379,-81.28146
70-18-121,Richland,na,4/29/18,4,40.677811,-82.519745
