Damage,Year,Month,Targetspp,POINT_X,POINT_Y,Bear_abund,Landcover_code,Altitude,Human_population,Dist_to_forest,Dist_to_town,Livestock_killed,ShannonDivIndex,prop_arable,prop_orchards,prop_pasture,prop_ag_mosaic,prop_seminatural,prop_deciduous,prop_coniferous,prop_mixedforest,prop_grassland,prop_for_regen
0,2014,0,,502073.3375,543057.2707,26,231,642,0,9.200931,1269.920079,0,1.266104,0.077,0,20.265,15.588,4.301,53.323,0,0,0,6.445
0,2014,0,,502218.288,547930.24,27,311,515,0,0,1900.760902,0,1.508113,12.281,0,20.355,0.921,28.85,33.48,0,0,0,2.586
0,2009,0,,502485.5436,546317.3923,27,311,621,0,0,1760.504427,0,0.657935,0,0,10.766,0,2.075,81.184,0,0,0,5.975
0,2012,0,,502597.5309,540302.4503,43,231,474,13,435.004063,151.829873,0,1.724176,15.222,0,20.449,21.877,7.562,23.959,0,0,0,0.001
0,2009,0,,502800.2481,538911.084,43,311,587,0,0,683.575652,0,1.676687,24.386,0,23.175,3.996,22.452,12.045,0,0,0,0
0,2014,0,,503101.3234,559399.0134,34,243,738,0,647.230542,1426.679233,1,1.278164,0,0,35.801,8.805,42.234,10.549,0,0,0,0
1,2016,7,alte,503311,550054,27,112,437,260,1031.024478,0,2,1.229061,28.723,0,5.462,40.892,0,0,0,0,0,0
0,2009,0,,503459.3565,527169.3437,30,311,650,0,0,1691.113497,0,0.935443,17.493,0,1.409,0,5.816,70.031,0,0,0.011,5.24
0,2009,0,,503466.4508,544600.1066,26,311,537,6,0,397.567084,0,0.676138,0,0,0,0,30.78,68.063,0,0,0,1.157
1,2016,7,alte,503474,553189,27,112,484,187,1161.111562,0,2,1.047291,66.014,0,0.492,13.323,5.149,0,0,0,0,0
0,2014,0,,503494.1571,534664.655,43,211,513,0,1873.324953,1475.350902,0,1.058723,40.932,0,38.446,0,20.622,0,0,0,0,0
0,2009,0,,503500.224,530731.4999,30,243,412,68,141.433999,1039.93004,0,1.549481,10.603,0,21.568,16.558,18.739,32.48,0,0,0,0
1,2016,7,alte,503523,553035,27,112,477,187,1302.817885,0,2,1.047291,66.014,0,0.492,13.323,5.149,0,0,0,0,0
1,2014,7,ovine,503592,539912,43,231,542,0,243.989278,1123.452954,1,1.218123,1.464,0,18.744,1.957,4.478,56.191,0,0,0,0
0,2009,0,,503662.48,543942.6649,26,243,540,49,232.868986,160.394259,0,0.676138,0,0,0,0,30.78,68.063,0,0,0,1.157
0,2012,0,,503820.1045,537080.9884,43,112,492,15,1099.776672,0,0,1.328185,20.239,0,51.675,1.446,13.887,0.025,0,0,0,0
1,2012,10,bovine,503840,559354,34,243,866,0,319.003136,1399.805363,1,1.278164,0,0,35.801,8.805,42.234,10.549,0,0,0,0
0,2012,0,,503841.5145,545486.0825,26,311,602,0,0,1147.522473,0,0.676138,0,0,0,0,30.78,68.063,0,0,0,1.157
0,2009,0,,503846.387,529808.3171,30,311,523,0,0,1766.185898,0,1.549481,10.603,0,21.568,16.558,18.739,32.48,0,0,0,0
0,2012,0,,503909.8763,561060.2897,34,311,720,0,0,2423.461543,0,0.611717,0,0,10.243,0,8.506,81.251,0,0,0,0
0,2014,0,,504090.5182,529250.5202,30,311,564,0,0,2229.888008,0,0.982973,4.109,0,11.078,0,0,71.176,0,0,7.141,6.495
0,2016,0,,504114.2312,527682.7094,30,231,656,0,84.72233,2501.932006,0,0.935443,17.493,0,1.409,0,5.816,70.031,0,0,0.011,5.24
0,2014,0,,504493.6465,527721.0132,30,311,676,0,0,2860.466072,0,0.982973,4.109,0,11.078,0,0,71.176,0,0,7.141,6.495
