"","Damage","Year","Month","Targetspp","POINT_X","POINT_Y","PTX","PTY","Bear_abund","Landcover_code","Altitude","Human_population","Dist_to_forest","Dist_to_town","Livestock_killed","Numberdamageperplot","ShannonDivIndex","prop_arable","prop_orchards","prop_pasture","prop_ag_mosaic","prop_seminatural","prop_deciduous","prop_coniferous","prop_mixedforest","prop_grassland","prop_for_regen","Landcover_2","Prop_natural","Prop_ag","Prop_gras","Hunting","Prop_open","Prop_forest"
"332",1,"2012","5","bovine",574560,570935,574621,571026,18,"231",942,49,61.189504,92.392409,1,1,1.742837,12.358,0,24.731,14.301,7.204,0,17.927,0,0.467,0,"231",7.204,26.659,25.198,1,25.198,17.927
"333",1,"2009","9","bovine",574718,558394,574811,558443,16,"211",1002,228,1565.722663,304.750175,1,3,1.564691,17.57,0,27.846,23.283,0.416,0,0,0,0,8.14,"210",8.556,40.853,27.846,1,27.846,0
"334",1,"2013","8","bovine",574761,547361,574830,547419,20,"324",1125,0,610.32349,4682.129387,1,1,0.902825,0,0,0,0,0,0,0,9.941,30.882,59.176,"324",59.176,0,30.882,1,30.882,9.941
"335",1,"2012","6","bovine",574823,507631,574832,507665,53,"321",697,0,73.413894,4398.397471,4,8,1.092434,0,0,0,0,0,49.017,15.073,2.47,33.44,0,"231",0,0,33.44,1,33.44,66.56
"336",1,"2012","10","bovine",574826,507615,574881,507703,53,"321",697,0,58.901852,4392.212518,4,8,1.092434,0,0,0,0,0,49.017,15.073,2.47,33.44,0,"231",0,0,33.44,1,33.44,66.56
"337",1,"2014","5","bovine",574916,565888,574982,565937,18,"231",1007,0,685.654213,1009.355879,2,2,1.559046,0,0,38.373,14.79,2.152,0,19.17,0,0,8.315,"231",10.467,14.79,38.373,1,38.373,19.17
"338",1,"2015","5","bovine",575006,554045,575032,554073,16,"242",1068,0,90.113084,1613.444436,1,4,0.999866,0,0,0,3.038,0,0,49.993,0,40.283,6.686,"240",6.686,3.038,40.283,1,40.283,49.993
"339",1,"2009","9","bovine",575040,560441,575127,560491,16,"242",986,0,1154.864856,212.511197,3,3,1.886367,16.112,0,12.179,6.542,17.012,0,20.879,0,0,18.029,"240",35.041,22.654,12.179,1,12.179,20.879
"340",1,"2014","6","bovine",575199,552493,575223,552498,16,"321",1304,10,180.219495,1144.09047,1,1,1.249913,0,0,0,7.951,0.258,0,24.314,0,45.755,21.722,"231",21.98,7.951,45.755,1,45.755,24.314
"341",1,"2015","7","bovine",575212,488956,575279,489039,48,"231",598,0,141.391085,2065.454767,1,1,0.908202,62.191,0,29.988,0,0,4.759,3.062,0,0,0,"231",0,62.191,29.988,1,29.988,7.821
"342",1,"2015","7","bovine",575284,547096,575306,547188,20,"321",1251,0,255.663525,5115.139566,1,1,1.053077,0,0,0,0,0,0,40.002,0.304,42.214,17.48,"231",17.48,0,42.214,1,42.214,40.306
